Race,File,PartName,Slot,SubType,Variant,Tier,Hand,PrimaryBone,WidthCm,HeightCm,DepthCm,CenterY,Vertices,PolyIndices
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_weapon_axe_A,Axe,axe,A,light/cloth tier,right,,33.42,2.94,12.70,0.17,24,88
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_weapon_sword_B,Sword,sword,B,light/cloth tier,right,,45.60,3.68,10.58,0.16,26,114
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_weapon_hammer_A,Hammer,hammer,A,light/cloth tier,right,,28.63,4.76,12.59,0.21,18,56
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_weapon_Dagger,Dagger,dagger,,,right,,32.64,3.13,5.96,-0.15,15,52
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_weapon_axe_B,Axe,axe,B,light/cloth tier,right,,42.55,3.53,19.53,-0.05,40,134
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_weapon_hammer_B,Hammer,hammer,B,light/cloth tier,right,,38.39,6.76,13.83,-0.19,23,84
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_weapon_axe_C,Axe,axe,C,medium/leather tier,right,,36.00,4.43,19.58,0.05,47,168
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_Xtra_quiver,Quiver,quiver,,,,,11.01,7.47,36.60,-1.67,56,129
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_horse_Seat,Saddle,,,,,Bip001 Spine,24.15,15.36,20.55,1.42,19,90
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_body_F,Body,,F,heavy/plate tier,,Bip001 Spine001,39.96,19.36,53.71,0.54,119,506
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_head_I,Head,,I,heavy/plate tier,,Bip001 Head001,10.09,18.11,17.93,2.42,101,316
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_head_J,Head,,J,heavy/plate tier,,Bip001 Head001,10.03,13.52,18.39,0.52,48,212
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_head_C,Head,,C,medium/leather tier,,Bip001 Head001,10.24,14.14,14.71,1.63,55,255
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_body_A,Body,,A,light/cloth tier,,Bip001 Spine001,43.15,14.95,42.33,1.28,92,356
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_body_B,Body,,B,light/cloth tier,,Bip001 Spine001,43.15,14.99,42.33,1.75,92,364
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_body_E,Body,,E,medium/leather tier,,Bip001 Spine001,43.15,15.75,42.33,1.43,92,360
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_head_B,Head,,B,light/cloth tier,,Bip001 Head001,7.32,17.66,16.04,3.63,57,258
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_body_D,Body,,D,medium/leather tier,,Bip001 Spine001,43.15,14.16,42.33,2.16,92,364
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_head_A,Head,,A,light/cloth tier,,Bip001 Head001,7.32,11.31,12.25,0.43,34,164
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_shoulderpads_B,Shoulders,,B,light/cloth tier,,Bip001 R Clavicle001,29.47,18.18,11.02,-0.74,34,148
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_body_G,Body,,G,heavy/plate tier,,Bip001 Spine001,43.15,15.97,42.33,1.74,122,502
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_head_D,Head,,D,medium/leather tier,,Bip001 Head001,8.09,12.54,14.09,-2.75,71,282
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_head_F,Head,,F,heavy/plate tier,,Bip001 Head001,12.86,13.27,15.57,-2.36,97,408
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_head_H,Head,,H,heavy/plate tier,,Bip001 Head001,16.76,17.73,19.21,0.55,120,350
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_shoulderpads_C,Shoulders,,C,medium/leather tier,,Bip001 R Clavicle001,31.33,18.85,16.95,-0.48,127,672
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_shoulderpads_A,Shoulders,,A,light/cloth tier,,Bip001 L Clavicle001,15.99,18.58,14.84,-0.18,31,133
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_head_E,Head,,E,medium/leather tier,,Bip001 Head001,16.60,13.27,14.73,-2.36,68,286
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_head_G,Head,,G,heavy/plate tier,,Bip001 Head001,19.24,14.38,15.85,-2.77,54,220
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_body_C,Body,,C,medium/leather tier,,Bip001 Spine001,43.15,14.43,42.33,2.03,92,364
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_body_H,Body,,H,heavy/plate tier,,Bip001 Spine001,43.15,15.97,42.33,1.74,122,502
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_arms_A,Arms,,A,light/cloth tier,,Bip001 R Hand001,60.30,8.25,15.63,1.96,26,112
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_legs_A,Legs,,A,light/cloth tier,,Bip001 R Foot001,19.60,15.66,13.62,-1.04,36,156
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_arms_B,Arms,,B,light/cloth tier,,Bip001 R Hand001,60.30,8.25,15.63,1.96,26,112
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_legs_B,Legs,,B,light/cloth tier,,Bip001 R Foot001,19.60,15.66,13.62,-1.04,36,156
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_arms_C,Arms,,C,medium/leather tier,,Bip001 R Forearm001,60.30,9.52,18.44,2.28,50,224
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_legs_C,Legs,,C,medium/leather tier,,Bip001 R Foot001,19.60,15.66,14.50,-1.04,36,156
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_weapon_staff_A,Staff,staff,A,light/cloth tier,right,,68.55,7.20,8.73,0.60,21,84
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_weapon_Bow,Bow,bow,,,left,,53.74,3.05,12.00,-0.39,23,114
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_weapon_staff_C,Staff,staff,C,medium/leather tier,right,,71.28,11.53,17.14,-0.41,134,364
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_weapon_staff_B,Staff,staff,B,light/cloth tier,right,,72.32,7.90,14.78,0.36,29,126
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_Shield_A,Shield,shield,A,light/cloth tier,left,,5.46,21.02,21.43,-1.32,17,86
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_Shield_C,Shield,shield,C,medium/leather tier,left,,4.80,35.18,19.68,-0.43,25,102
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_Shield_D,Shield,shield,D,medium/leather tier,left,,5.29,28.36,26.97,-1.39,27,110
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_Shield_B,Shield,shield,B,light/cloth tier,left,,5.41,28.36,26.97,-1.21,27,110
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_weapon_sword_A,Sword,sword,A,light/cloth tier,right,,45.24,3.75,9.64,-0.03,17,70
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_weapon_spear,Spear,spear,,,right,,76.86,2.80,6.64,-0.10,21,86
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_weapon_axe_A,Axe,axe,A,light/cloth tier,right,,33.42,2.94,12.70,0.17,24,88
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_weapon_sword_B,Sword,sword,B,light/cloth tier,right,,45.60,3.68,10.58,0.16,26,114
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_weapon_hammer_A,Hammer,hammer,A,light/cloth tier,right,,28.63,4.76,12.59,0.21,18,56
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_weapon_Dagger,Dagger,dagger,,,right,,32.64,3.13,5.96,-0.15,15,52
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_weapon_axe_B,Axe,axe,B,light/cloth tier,right,,42.55,3.53,19.53,-0.05,40,134
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_weapon_hammer_B,Hammer,hammer,B,light/cloth tier,right,,38.39,6.76,13.83,-0.19,23,84
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_weapon_axe_C,Axe,axe,C,medium/leather tier,right,,36.00,4.43,19.58,0.05,47,168
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_Xtra_wood,Lumber,wood,,,,,33.86,29.57,17.79,-7.46,30,90
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_Xtra_bag,Belt Bag,bag,,,,,20.86,32.29,23.83,5.48,33,162
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_Xtra_quiver,Quiver,quiver,,,,,11.01,7.47,36.60,-1.67,56,129
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_body_F,Body,,F,heavy/plate tier,,Bip001 Spine,39.96,19.36,53.71,0.54,119,506
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_head_I,Head,,I,heavy/plate tier,,Bip001 Head,10.09,18.11,17.93,2.42,101,316
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_head_J,Head,,J,heavy/plate tier,,Bip001 Head,10.03,13.52,18.39,0.52,48,212
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_head_C,Head,,C,medium/leather tier,,Bip001 Head,10.24,14.14,14.71,1.63,55,255
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_body_A,Body,,A,light/cloth tier,,Bip001 Spine,43.15,14.95,42.33,1.28,92,356
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_body_B,Body,,B,light/cloth tier,,Bip001 Spine,43.15,14.99,42.33,1.75,92,364
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_body_E,Body,,E,medium/leather tier,,Bip001 Spine,43.15,15.75,42.33,1.43,92,360
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_head_B,Head,,B,light/cloth tier,,Bip001 Head,7.32,17.66,16.04,3.63,57,258
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_body_D,Body,,D,medium/leather tier,,Bip001 Spine,43.15,14.16,42.33,2.16,92,364
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_head_A,Head,,A,light/cloth tier,,Bip001 Head,7.32,11.31,12.25,0.43,34,164
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_shoulderpads_B,Shoulders,,B,light/cloth tier,,Bip001 R Clavicle,29.47,18.18,11.02,-0.74,34,148
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_body_G,Body,,G,heavy/plate tier,,Bip001 Spine,43.15,15.97,42.33,1.74,122,502
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_head_D,Head,,D,medium/leather tier,,Bip001 Head,8.09,12.54,14.09,-2.75,71,282
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_head_F,Head,,F,heavy/plate tier,,Bip001 Head,12.86,13.27,15.57,-2.36,97,408
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_head_H,Head,,H,heavy/plate tier,,Bip001 Head,16.76,17.73,19.21,0.55,120,350
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_shoulderpads_C,Shoulders,,C,medium/leather tier,,Bip001 R Clavicle,31.33,18.85,16.95,-0.48,127,672
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_shoulderpads_A,Shoulders,,A,light/cloth tier,,Bip001 L Clavicle,15.99,18.58,14.84,-0.18,31,133
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_head_E,Head,,E,medium/leather tier,,Bip001 Head,16.60,13.27,14.73,-2.36,68,286
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_head_G,Head,,G,heavy/plate tier,,Bip001 Head,19.24,14.38,15.85,-2.77,54,220
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_body_C,Body,,C,medium/leather tier,,Bip001 Spine,43.15,14.43,42.33,2.03,92,364
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_body_H,Body,,H,heavy/plate tier,,Bip001 Spine,43.15,15.97,42.33,1.74,122,502
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_arms_A,Arms,,A,light/cloth tier,,Bip001 R Hand,60.30,8.25,15.63,1.96,26,112
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_legs_A,Legs,,A,light/cloth tier,,Bip001 R Foot,19.60,15.66,13.62,-1.04,36,156
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_arms_B,Arms,,B,light/cloth tier,,Bip001 R Hand,60.30,8.25,15.63,1.96,26,112
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_legs_B,Legs,,B,light/cloth tier,,Bip001 R Foot,19.60,15.66,13.62,-1.04,36,156
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_arms_C,Arms,,C,medium/leather tier,,Bip001 R Forearm,60.30,9.52,18.44,2.28,50,224
Barbarian,Barbarians/models/BRB_Characters_customizable.FBX,BRB_legs_C,Legs,,C,medium/leather tier,,Bip001 R Foot,19.60,15.66,14.50,-1.04,36,156
Barbarian,Barbarians/models/extra_models/BRB_bag.FBX,WK_Xtra_bag,Belt Bag,bag,,,,,21.27,29.92,15.96,0.09,33,162
Barbarian,Barbarians/models/extra_models/Equipment/BRB_weapon_hammer_B.FBX,BRB_weapon_hammer_B,Hammer,hammer,B,light/cloth tier,right,,38.39,6.76,13.83,-0.19,23,84
Barbarian,Barbarians/models/extra_models/Equipment/BRB_weapon_spear.FBX,BRB_weapon_spear,Spear,spear,,,right,,76.86,2.80,6.64,-0.10,21,86
Barbarian,Barbarians/models/extra_models/Equipment/BRB_weapon_staff_B.FBX,BRB_weapon_staff_B,Staff,staff,B,light/cloth tier,right,,72.32,7.90,14.78,0.36,29,126
Barbarian,Barbarians/models/extra_models/Equipment/BRB_weapon_sword_B.FBX,BRB_weapon_sword_B,Sword,sword,B,light/cloth tier,right,,45.60,3.68,10.58,0.16,26,114
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Weapon_bow,Bow,bow,,,left,,49.34,3.60,13.85,0.00,27,134
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Weapon_staff_B,Staff,staff,B,light/cloth tier,right,,60.64,15.66,6.11,-0.01,73,244
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Weapon_staff_A,Staff,staff,A,light/cloth tier,right,,60.35,5.10,4.86,0.11,22,76
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Shield_B,Shield,shield,B,light/cloth tier,left,,6.14,28.37,27.03,0.89,27,110
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Shield_A,Shield,shield,A,light/cloth tier,left,,6.50,23.71,24.11,2.37,17,86
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Shield_C,Shield,shield,C,medium/leather tier,left,,7.20,36.18,21.95,-0.12,21,90
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Shield_D,Shield,shield,D,medium/leather tier,left,,5.86,31.79,31.80,2.16,32,144
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Weapon_dagger,Dagger,dagger,,,right,,28.07,3.78,7.80,0.00,16,58
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Weapon_spear,Spear,spear,,,right,,61.68,4.08,7.64,-0.00,15,52
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Weapon_axe_B,Axe,axe,B,light/cloth tier,right,,39.03,4.23,15.07,-0.13,33,130
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Weapon_pick,Pick,pick,,,right,,32.39,4.73,27.70,0.00,40,128
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Weapon_axe_A,Axe,axe,A,light/cloth tier,right,,34.29,4.65,15.18,0.00,33,134
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Weapon_axe_C,Axe,axe,C,medium/leather tier,right,,45.20,5.43,21.96,0.00,56,246
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Weapon_sword_B,Sword,sword,B,light/cloth tier,right,,44.80,3.80,10.43,-0.00,31,106
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Weapon_hammer_B,Hammer,hammer,B,light/cloth tier,right,,44.58,7.69,13.63,0.00,26,96
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Weapon_hammer_A,Hammer,hammer,A,light/cloth tier,right,,29.23,5.79,11.40,-0.00,20,68
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Weapon_sword_A,Sword,sword,A,light/cloth tier,right,,39.54,3.97,7.22,-0.00,22,78
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Xtra_quiver,Quiver,quiver,,,,,9.60,5.22,31.74,-1.02,56,123
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Mount_Ram,Creature,ram,,,,Bip001 Head,31.71,71.03,56.02,-9.25,186,1016
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Body_A,Body,,A,light/cloth tier,,Bip001 Spine001,37.22,16.88,33.71,0.58,88,350
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_A,Head,,A,light/cloth tier,,Bip001 Head001,13.49,16.14,23.05,-2.13,53,266
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Body_E,Body,,E,medium/leather tier,,Bip001 Spine001,37.22,19.55,41.52,0.49,119,678
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Body_B,Body,,B,light/cloth tier,,Bip001 Spine001,37.22,16.88,33.71,0.58,88,350
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Body_C,Body,,C,medium/leather tier,,Bip001 Spine001,37.22,16.98,33.71,0.63,88,350
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Body_D,Body,,D,medium/leather tier,,Bip001 Spine001,37.22,17.05,33.71,0.67,88,350
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Shoulderpads_A,Shoulders,,A,light/cloth tier,,Bip001 L Clavicle001,28.02,17.63,11.45,-0.52,32,136
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Shoulderpads_B,Shoulders,,B,light/cloth tier,,Bip001 L Clavicle001,27.01,16.22,10.54,-0.50,32,136
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Shoulderpads_C,Shoulders,,C,medium/leather tier,,Bip001 L Clavicle001,33.14,17.61,12.22,-0.96,34,148
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_M,Head,,M,heavy/plate tier,,Bip001 Head001,12.71,17.52,24.83,-1.44,62,286
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_N,Head,,N,heavy/plate tier,,Bip001 Head001,12.71,17.52,24.83,-1.44,62,286
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Arms_A,Arms,,A,light/cloth tier,,Bip001 R Forearm001,55.86,10.96,15.16,2.23,26,112
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Legs_A,Legs,,A,light/cloth tier,,Bip001 R Foot001,19.98,16.23,11.38,-1.17,36,192
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Legs_B,Legs,,B,light/cloth tier,,Bip001 R Foot001,19.98,16.23,10.70,-1.17,36,192
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Arms_B,Arms,,B,light/cloth tier,,Bip001 R Forearm001,55.86,10.96,15.16,2.23,26,112
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Legs_C,Legs,,C,medium/leather tier,,Bip001 R Foot001,19.98,16.23,11.38,-1.17,36,192
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Arms_C,Arms,,C,medium/leather tier,,Bip001 R Forearm001,55.86,10.96,15.16,2.23,26,112
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_B,Head,,B,light/cloth tier,,Bip001 Head001,13.49,16.14,25.39,-2.13,65,292
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_C,Head,,C,medium/leather tier,,Bip001 Head001,14.93,16.14,26.61,-2.13,92,410
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_D,Head,,D,medium/leather tier,,Bip001 Head001,13.49,17.27,25.39,-1.57,69,300
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_E,Head,,E,medium/leather tier,,Bip001 Head001,13.49,16.25,25.74,-2.08,71,310
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_F,Head,,F,heavy/plate tier,,Bip001 Head001,16.67,16.25,27.39,-2.08,103,422
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_G,Head,,G,heavy/plate tier,,Bip001 Head001,13.17,17.17,24.72,-1.61,73,320
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_H,Head,,H,heavy/plate tier,,Bip001 Head001,17.49,17.17,29.91,-1.61,105,432
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_I,Head,,I,heavy/plate tier,,Bip001 Head001,28.97,17.17,24.82,-1.61,105,456
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_J,Head,,J,heavy/plate tier,,Bip001 Head001,13.13,17.51,27.25,-1.44,69,310
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_K,Head,,K,heavy/plate tier,,Bip001 Head001,21.55,17.51,27.84,-1.44,95,408
Dwarf,Dwarves/models/DWF_Cavalry_customizable.FBX,DWF_Units_Head_L,Head,,L,heavy/plate tier,,Bip001 Head001,20.69,17.23,26.31,-1.59,81,352
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Weapon_bow,Bow,bow,,,left,,49.34,3.60,13.85,0.00,27,134
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Weapon_staff_B,Staff,staff,B,light/cloth tier,right,,60.64,15.66,6.11,-0.01,73,244
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Weapon_staff_A,Staff,staff,A,light/cloth tier,right,,60.35,5.10,4.86,0.11,22,76
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Shield_B,Shield,shield,B,light/cloth tier,left,,6.14,28.37,27.03,0.89,27,110
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Shield_A,Shield,shield,A,light/cloth tier,left,,6.50,23.71,24.11,2.37,17,86
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Shield_C,Shield,shield,C,medium/leather tier,left,,7.20,36.18,21.95,-0.12,21,90
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Shield_D,Shield,shield,D,medium/leather tier,left,,5.86,31.79,31.80,2.16,32,144
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Weapon_dagger,Dagger,dagger,,,right,,28.07,3.78,7.80,0.00,16,58
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Weapon_spear,Spear,spear,,,right,,61.68,4.08,7.64,-0.00,15,52
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Weapon_axe_B,Axe,axe,B,light/cloth tier,right,,39.03,4.23,15.07,-0.13,33,130
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Weapon_pick,Pick,pick,,,right,,32.39,4.73,27.70,0.00,40,128
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Weapon_axe_A,Axe,axe,A,light/cloth tier,right,,34.29,4.65,15.18,0.00,33,134
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Weapon_axe_C,Axe,axe,C,medium/leather tier,right,,45.20,5.43,21.96,0.00,56,246
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Weapon_sword_B,Sword,sword,B,light/cloth tier,right,,44.80,3.80,10.43,-0.00,31,106
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Weapon_hammer_B,Hammer,hammer,B,light/cloth tier,right,,44.58,7.69,13.63,0.00,26,96
Dwarf,Dwarves/models/DWF_Characters_customizable.FBX,DWF_Weapon_hammer_A,Hammer,hammer,A,light/cloth tier,right,,29.23,5.79,11.40,-0.00,20,68
