Race,FileCategory,File,PartType,PartName,Group,Slot,Subtype,Variant,Description,Vertices,PolyIndices
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_Shield_D,Equipment,Shield,shield,D,Shield variant D (off-hand),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_Shield_B,Equipment,Shield,shield,B,Shield variant B (off-hand),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_weapon_sword_A,Equipment,Weapon,sword,A,Sword variant A (right-hand weapon mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_weapon_spear,Equipment,Weapon,spear,,Spear variant - (right-hand weapon mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_weapon_axe_A,Equipment,Weapon,axe,A,Axe variant A (right-hand weapon mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_weapon_sword_B,Equipment,Weapon,sword,B,Sword variant B (right-hand weapon mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_weapon_hammer_A,Equipment,Weapon,hammer,A,Hammer variant A (right-hand weapon mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_weapon_Dagger,Equipment,Weapon,dagger,,Dagger variant - (right-hand weapon mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_weapon_axe_B,Equipment,Weapon,axe,B,Axe variant B (right-hand weapon mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_weapon_hammer_B,Equipment,Weapon,hammer,B,Hammer variant B (right-hand weapon mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_weapon_axe_C,Equipment,Weapon,axe,C,Axe variant C (right-hand weapon mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_Xtra_quiver,Accessory,Extra,quiver,,Arrow quiver (back),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_horse_Seat,Mount,Saddle,,,Saddle / rider seat for mount,,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_body_F,Body,Body / Torso,,F,Body / Torso variant F (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_head_I,Body,Head,,I,Head variant I (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_head_J,Body,Head,,J,Head variant J (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_head_C,Body,Head,,C,Head variant C (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_body_A,Body,Body / Torso,,A,Body / Torso variant A (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_body_B,Body,Body / Torso,,B,Body / Torso variant B (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_body_E,Body,Body / Torso,,E,Body / Torso variant E (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_head_B,Body,Head,,B,Head variant B (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_body_D,Body,Body / Torso,,D,Body / Torso variant D (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_head_A,Body,Head,,A,Head variant A (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_shoulderpads_B,Body,Shoulders,,B,Shoulders variant B (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_body_G,Body,Body / Torso,,G,Body / Torso variant G (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_head_D,Body,Head,,D,Head variant D (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_head_F,Body,Head,,F,Head variant F (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_head_H,Body,Head,,H,Head variant H (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_shoulderpads_C,Body,Shoulders,,C,Shoulders variant C (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_shoulderpads_A,Body,Shoulders,,A,Shoulders variant A (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_head_E,Body,Head,,E,Head variant E (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_head_G,Body,Head,,G,Head variant G (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_body_C,Body,Body / Torso,,C,Body / Torso variant C (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_body_H,Body,Body / Torso,,H,Body / Torso variant H (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_arms_A,Body,Arms,,A,Arms variant A (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_legs_A,Body,Legs,,A,Legs variant A (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_arms_B,Body,Arms,,B,Arms variant B (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_legs_B,Body,Legs,,B,Legs variant B (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_arms_C,Body,Arms,,C,Arms variant C (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_legs_C,Body,Legs,,C,Legs variant C (swappable body mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),174,794
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),21,84
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),23,114
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),134,364
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),29,126
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),17,86
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),25,102
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),27,110
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),27,110
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),17,70
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),21,86
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),24,88
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),26,114
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),18,56
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),15,52
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),40,134
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),23,84
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),47,168
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),56,129
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),19,90
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),119,506
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),101,316
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),48,212
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),55,255
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),92,356
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),92,364
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),92,360
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),57,258
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),92,364
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),34,164
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),34,148
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),122,502
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),71,282
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),97,408
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),120,350
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),127,672
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),31,133
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),68,286
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),54,220
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),92,364
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),122,502
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),26,112
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),36,156
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),26,112
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),36,156
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),50,224
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,geometry,(unnamed),geometry,,,,(unnamed),36,156
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 Pelvis,Skeleton,Bone,,,Skeleton bone (Bip001 Pelvis),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 Spine,Skeleton,Bone,,,Skeleton bone (Bip001 Spine),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 Neck,Skeleton,Bone,,,Skeleton bone (Bip001 Neck),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 Head,Skeleton,Bone,,,Skeleton bone (Bip001 Head),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 HeadNub,Skeleton,Bone,,,Skeleton bone (Bip001 HeadNub),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 L Clavicle,Skeleton,Bone,,,Skeleton bone (Bip001 L Clavicle),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 L UpperArm,Skeleton,Bone,,,Skeleton bone (Bip001 L UpperArm),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 L Forearm,Skeleton,Bone,,,Skeleton bone (Bip001 L Forearm),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 L Hand,Skeleton,Bone,,,Skeleton bone (Bip001 L Hand),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 L Finger0,Skeleton,Bone,,,Skeleton bone (Bip001 L Finger0),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 L Finger0Nub,Skeleton,Bone,,,Skeleton bone (Bip001 L Finger0Nub),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 R Clavicle,Skeleton,Bone,,,Skeleton bone (Bip001 R Clavicle),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 R UpperArm,Skeleton,Bone,,,Skeleton bone (Bip001 R UpperArm),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 R Forearm,Skeleton,Bone,,,Skeleton bone (Bip001 R Forearm),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 R Hand,Skeleton,Bone,,,Skeleton bone (Bip001 R Hand),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 R Finger0,Skeleton,Bone,,,Skeleton bone (Bip001 R Finger0),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 R Finger0Nub,Skeleton,Bone,,,Skeleton bone (Bip001 R Finger0Nub),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 L Thigh,Skeleton,Bone,,,Skeleton bone (Bip001 L Thigh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 L Calf,Skeleton,Bone,,,Skeleton bone (Bip001 L Calf),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 L Foot,Skeleton,Bone,,,Skeleton bone (Bip001 L Foot),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 L Toe0,Skeleton,Bone,,,Skeleton bone (Bip001 L Toe0),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 L Toe0Nub,Skeleton,Bone,,,Skeleton bone (Bip001 L Toe0Nub),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 R Thigh,Skeleton,Bone,,,Skeleton bone (Bip001 R Thigh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 R Calf,Skeleton,Bone,,,Skeleton bone (Bip001 R Calf),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 R Foot,Skeleton,Bone,,,Skeleton bone (Bip001 R Foot),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 R Toe0,Skeleton,Bone,,,Skeleton bone (Bip001 R Toe0),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 R Toe0Nub,Skeleton,Bone,,,Skeleton bone (Bip001 R Toe0Nub),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 Tail,Skeleton,Bone,,,Skeleton bone (Bip001 Tail),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 Tail1,Skeleton,Bone,,,Skeleton bone (Bip001 Tail1),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 TailNub,Skeleton,Bone,,,Skeleton bone (Bip001 TailNub),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bone_Mount,Skeleton,Bone,,,Skeleton bone (Bone_Mount),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 Pelvis001,Skeleton,Bone,,,Skeleton bone (Bip001 Pelvis001),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 Spine001,Skeleton,Bone,,,Skeleton bone (Bip001 Spine001),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 Neck001,Skeleton,Bone,,,Skeleton bone (Bip001 Neck001),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 Head001,Skeleton,Bone,,,Skeleton bone (Bip001 Head001),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 HeadNub001,Skeleton,Bone,,,Skeleton bone (Bip001 HeadNub001),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,bone,Bip001 L Clavicle001,Skeleton,Bone,,,Skeleton bone (Bip001 L Clavicle001),,
