Race,Category,File,MeshParts,Geometries,TotalVerts,Bones,NullNodes,Materials,Textures,AnimStacks,Deformers
Orc,animation,Orcs/animation/Catapult/ORC_catapult_03_attack.FBX,0,0,0,11,0,0,0,1,0
Orc,animation,Orcs/animation/Catapult/ORC_catapult_04_death.FBX,0,0,0,11,0,0,0,1,0
Orc,animation,Orcs/animation/Cavalry/ORC_cavalry_01_idle.FBX,0,0,0,43,0,0,0,1,0
Orc,animation,Orcs/animation/Cavalry/ORC_cavalry_03_run.FBX,0,0,0,43,0,0,0,1,0
Orc,animation,Orcs/animation/Cavalry/ORC_cavalry_10_death_B.FBX,0,0,0,43,0,0,0,1,0
Orc,animation,Orcs/animation/Worker/ORC_worker_12_working_A.FBX,0,0,0,22,0,0,0,1,0
Orc,siege,Orcs/models/ORC_Catapult.FBX,2,2,414,11,0,1,1,0,12
Orc,cavalry-character,Orcs/models/ORC_Cavalry_Customizable.FBX,47,47,2675,56,2,2,2,1,247
Orc,character,Orcs/models/ORC_Characters_Customizable.FBX,48,48,2538,29,1,1,1,1,227
Orc,equipment,Orcs/models/extra_models/Equipment/ORC_Shield_D.FBX,1,1,37,0,0,1,1,0,0
Orc,equipment,Orcs/models/extra_models/Equipment/ORC_weapon_Axe_A.FBX,1,1,15,0,0,1,1,0,0
Orc,equipment,Orcs/models/extra_models/Equipment/ORC_weapon_staff_B.FBX,1,1,80,0,0,1,1,0,0
Undead,cavalry-character,Undead/models/UD_Cavalry_customizable.FBX,50,50,2518,60,2,1,1,1,319
Undead,character,Undead/models/UD_Characters_customizable.FBX,50,50,2340,29,1,1,1,1,296
Undead,equipment,Undead/models/extra_models/Equipment/UD_Shield_C.FBX,1,1,26,0,0,1,1,0,0
Undead,equipment,Undead/models/extra_models/Equipment/UD_weapon_Spear.FBX,1,1,21,0,0,1,1,0,0
Undead,equipment,Undead/models/extra_models/Equipment/UD_weapon_Sword_C.FBX,1,1,28,0,0,1,1,0,0
Undead,equipment,Undead/models/extra_models/Equipment/UD_weapon_staff_B.FBX,1,1,106,0,0,1,1,0,0
Human,animation,WesternKingdoms/animation/Catapult/WK_catapult_01_idle.FBX,0,0,0,11,0,0,0,1,0
Human,animation,WesternKingdoms/animation/Catapult/WK_catapult_02_move.FBX,0,0,0,11,0,0,0,1,0
Human,animation,WesternKingdoms/animation/Catapult/WK_catapult_03_attack.FBX,0,0,0,11,0,0,0,1,0
Human,animation,WesternKingdoms/animation/Catapult/WK_catapult_04_death.FBX,0,0,0,11,0,0,0,1,0
Human,animation,WesternKingdoms/animation/Cavalry/WK_cavalry_01_idle.FBX,0,0,0,45,0,0,0,1,0
Human,animation,WesternKingdoms/animation/Cavalry/WK_cavalry_03_run.FBX,0,0,0,45,0,0,0,1,0
Human,animation,WesternKingdoms/animation/Cavalry/WK_cavalry_10_death_B.FBX,0,0,0,45,0,0,0,1,0
Human,siege,WesternKingdoms/models/WK_Catapult.FBX,2,2,390,11,0,1,1,0,12
Human,cavalry-character,WesternKingdoms/models/WK_Cavalry_customizable.FBX,43,43,1842,58,2,2,2,0,197
Human,character,WesternKingdoms/models/WK_Characters_customizable.FBX,42,42,1667,29,1,1,1,0,171
Human,equipment,WesternKingdoms/models/extra_models/equipment/WK_weapon_staff_B.FBX,1,1,42,0,0,1,1,0,0
Human,equipment,WesternKingdoms/models/extra_models/equipment/WK_weapon_sword_A.FBX,1,1,17,0,0,1,1,0,0
