Bucket,Race,Class,Action,Variant,Loop,AssetName,Url,FileSizeKB,MeshCount,SkinCount,BoneCount,TotalVerts,TotalTris,TextureCount,TextureKB,BBoxW_cm,BBoxH_cm,BBoxD_cm,AnimDurationSec,AnimChannels
animations,orc,cavalry,death,B,once,cavalry_10_death_B,/models/gltf/animations/orc/cavalry_10_death_B.glb,58.9,0,0,0,0,0,0,0,,,,1.667,54
animations,orc,worker,working,A,loop,worker_12_working_A,/models/gltf/animations/orc/worker_12_working_A.glb,18.2,0,0,0,0,0,0,0,,,,0.875,19
cavalry,barbarian,,,,,barbarian,/models/gltf/cavalry/barbarian.glb,383,47,29,204,4271,4524,1,0.1,0.82,0.86,0.81,,
cavalry,dwarf,,,,,dwarf,/models/gltf/cavalry/dwarf.glb,389.5,47,29,199,4426,4545,1,0.1,0.66,0.71,0.72,,
cavalry,elf,,,,,elf,/models/gltf/cavalry/elf.glb,461.7,48,33,184,5373,5414,1,0.1,1.1,0.86,0.82,,
cavalry,human,,,,,human,/models/gltf/cavalry/human.glb,278.1,43,25,172,2814,3137,2,0.1,1.09,0.86,0.84,,
cavalry,orc,,,,,orc,/models/gltf/cavalry/orc.glb,360.3,47,29,218,3904,4390,2,0.1,0.83,1.13,0.81,,
cavalry,undead,,,,,undead,/models/gltf/cavalry/undead.glb,368.5,50,33,286,3854,4155,1,0.1,1.1,0.85,0.83,,
characters,barbarian,,,,,barbarian,/models/gltf/characters/barbarian.glb,357.8,47,27,180,4106,4270,1,0.1,0.82,0.36,0.74,,
characters,dwarf,,,,,dwarf,/models/gltf/characters/dwarf.glb,364.2,48,28,178,4234,4291,1,0.1,0.66,0.36,0.71,,
characters,elf,,,,,elf,/models/gltf/characters/elf.glb,431.2,47,31,160,5131,5088,1,0.1,0.94,0.6,0.69,,
characters,human,,,,,human,/models/gltf/characters/human.glb,247.6,42,23,148,2572,2811,1,0.1,0.82,0.41,0.79,,
characters,orc,,,,,orc,/models/gltf/characters/orc.glb,341.5,48,30,197,3753,4104,1,0.1,0.83,0.48,0.81,,
characters,undead,,,,,undead,/models/gltf/characters/undead.glb,338.8,50,32,264,3602,3821,1,0.1,0.82,0.41,0.83,,
equipment,barbarian,,,B,,BRB_weapon_hammer_B,/models/gltf/equipment/barbarian/BRB_weapon_hammer_B.glb,6.7,1,0,0,53,38,1,0.1,0.38,0.07,0.14,,
equipment,barbarian,,,,,BRB_weapon_spear,/models/gltf/equipment/barbarian/BRB_weapon_spear.glb,5.9,1,0,0,31,34,1,0.1,0.77,0.03,0.07,,
equipment,barbarian,,,B,,BRB_weapon_staff_B,/models/gltf/equipment/barbarian/BRB_weapon_staff_B.glb,6.3,1,0,0,37,54,1,0.1,0.72,0.08,0.15,,
equipment,barbarian,,,B,,BRB_weapon_sword_B,/models/gltf/equipment/barbarian/BRB_weapon_sword_B.glb,6,1,0,0,46,42,1,0.1,0.46,0.04,0.11,,
equipment,elf,,,,,ELF_weapon_spear,/models/gltf/equipment/elf/ELF_weapon_spear.glb,4,1,0,0,34,32,1,0.1,0.89,0.04,0.06,,
equipment,elf,,,C,,ELF_weapon_staff_C,/models/gltf/equipment/elf/ELF_weapon_staff_C.glb,8,1,0,0,128,108,1,0.1,0.8,0.21,0.11,,
equipment,human,,,B,,WK_weapon_staff_B,/models/gltf/equipment/human/WK_weapon_staff_B.glb,5.3,1,0,0,62,80,1,0.1,0.75,0.15,0.08,,
equipment,human,,,A,,WK_weapon_sword_A,/models/gltf/equipment/human/WK_weapon_sword_A.glb,3.4,1,0,0,32,26,1,0.1,0.43,0.03,0.1,,
equipment,orc,,,D,,ORC_Shield_D,/models/gltf/equipment/orc/ORC_Shield_D.glb,6.3,1,0,0,90,58,1,0.1,0.09,0.48,0.26,,
equipment,orc,,,A,,ORC_weapon_Axe_A,/models/gltf/equipment/orc/ORC_weapon_Axe_A.glb,3.5,1,0,0,26,26,1,0.1,0.35,0.03,0.16,,
equipment,orc,,,B,,ORC_weapon_staff_B,/models/gltf/equipment/orc/ORC_weapon_staff_B.glb,6.5,1,0,0,84,125,1,0.1,0.71,0.11,0.12,,
equipment,undead,,,C,,UD_Shield_C,/models/gltf/equipment/undead/UD_Shield_C.glb,4.9,1,0,0,56,48,1,0.1,0.09,0.39,0.27,,
equipment,undead,,,,,UD_weapon_Spear,/models/gltf/equipment/undead/UD_weapon_Spear.glb,3.8,1,0,0,31,34,1,0.1,0.77,0.03,0.07,,
equipment,undead,,,C,,UD_weapon_Sword_C,/models/gltf/equipment/undead/UD_weapon_Sword_C.glb,5,1,0,0,60,40,1,0.1,0.57,0.03,0.17,,
equipment,undead,,,B,,UD_weapon_staff_B,/models/gltf/equipment/undead/UD_weapon_staff_B.glb,8.2,1,0,0,129,130,1,0.1,0.76,0.08,0.15,,
siege,elf,,,,,ELF_BoltThrower,/models/gltf/siege/elf_ELF_BoltThrower.glb,50.4,1,1,14,718,578,1,0.1,1.12,0.54,1.37,,
siege,human,,,,,WK_Catapult,/models/gltf/siege/human_WK_Catapult.glb,58.7,2,1,11,881,626,1,0.1,0.74,1.15,0.74,,
siege,orc,,,,,ORC_Catapult,/models/gltf/siege/orc_ORC_Catapult.glb,59.9,2,1,11,900,653,1,0.1,0.88,1.16,0.75,,
